,,,,,,相関係数
NDFACBM027SBOG　diff(13),2010-01-01,A,BUSLOANS,level,0,
NDFACBM027SBOG　diff(13),2010-01-01,A,BUSLOANS,qoq,0,
NDFACBM027SBOG　diff(13),2010-01-01,A,BUSLOANS,yoy,0,M
NDFACBM027SBOG　diff(13),2010-01-01,A,BUSLOANS,z52_qoq,2,
NDFACBM027SBOG　diff(13),2010-01-01,A,BUSLOANS,z52_yoy,0,
NDFACBM027SBOG　diff(13),2010-01-01,A,BUSLOANS,z52,1,
NDFACBM027SBOG　diff(13),2010-01-01,A,BUSLOANS,z104,0,
NDFACBM027SBOG　diff(13),2010-01-01,A,BUSLOANS,mom4,0,M
NDFACBM027SBOG　diff(13),2010-01-01,A,CP,level,16,
NDFACBM027SBOG　diff(13),2010-01-01,A,CP,qoq,25,
NDFACBM027SBOG　diff(13),2010-01-01,A,CP,yoy,61,M
NDFACBM027SBOG　diff(13),2010-01-01,A,CP,z52_qoq,25,
NDFACBM027SBOG　diff(13),2010-01-01,A,CP,z52_yoy,69,
NDFACBM027SBOG　diff(13),2010-01-01,A,CP,z52,21,
NDFACBM027SBOG　diff(13),2010-01-01,A,CP,z104,18,
NDFACBM027SBOG　diff(13),2010-01-01,A,CP,mom4,26,
NDFACBM027SBOG　diff(13),2010-01-01,A,PNFIC1,level,5,
NDFACBM027SBOG　diff(13),2010-01-01,A,PNFIC1,qoq,32,
NDFACBM027SBOG　diff(13),2010-01-01,A,PNFIC1,yoy,10,
NDFACBM027SBOG　diff(13),2010-01-01,A,PNFIC1,z52_qoq,39,
NDFACBM027SBOG　diff(13),2010-01-01,A,PNFIC1,z52_yoy,-,
NDFACBM027SBOG　diff(13),2010-01-01,A,PNFIC1,z52,17,
NDFACBM027SBOG　diff(13),2010-01-01,A,PNFIC1,z104,10,
NDFACBM027SBOG　diff(13),2010-01-01,A,PNFIC1,mom4,14,
NDFACBM027SBOG　diff(13),2010-01-01,B,PAYEMS,level,13,
NDFACBM027SBOG　diff(13),2010-01-01,B,PAYEMS,qoq,13,
NDFACBM027SBOG　diff(13),2010-01-01,B,PAYEMS,yoy,13,M
NDFACBM027SBOG　diff(13),2010-01-01,B,PAYEMS,z52_qoq,17,
NDFACBM027SBOG　diff(13),2010-01-01,B,PAYEMS,z52_yoy,16,
NDFACBM027SBOG　diff(13),2010-01-01,B,PAYEMS,z52,15,M
NDFACBM027SBOG　diff(13),2010-01-01,B,PAYEMS,z104,14,
NDFACBM027SBOG　diff(13),2010-01-01,B,PAYEMS,mom4,16,
NDFACBM027SBOG　diff(13),2010-01-01,B,PCE,level,15,
NDFACBM027SBOG　diff(13),2010-01-01,B,PCE,qoq,15,
NDFACBM027SBOG　diff(13),2010-01-01,B,PCE,yoy,15,M
NDFACBM027SBOG　diff(13),2010-01-01,B,PCE,z52_qoq,19,
NDFACBM027SBOG　diff(13),2010-01-01,B,PCE,z52_yoy,18,
NDFACBM027SBOG　diff(13),2010-01-01,B,PCE,z52,17,
NDFACBM027SBOG　diff(13),2010-01-01,B,PCE,z104,16,M
NDFACBM027SBOG　diff(13),2010-01-01,B,PCE,mom4,18,
NDFACBM027SBOG　diff(13),2010-01-01,C,SOFR,level,2,
NDFACBM027SBOG　diff(13),2010-01-01,C,SOFR,diff13,1,
NDFACBM027SBOG　diff(13),2010-01-01,C,SOFR,diff52,0,
NDFACBM027SBOG　diff(13),2010-01-01,C,SOFR,z52_diff13,2,
NDFACBM027SBOG　diff(13),2010-01-01,C,SOFR,z52_diff52,2,
NDFACBM027SBOG　diff(13),2010-01-01,C,SOFR,z52,0,
NDFACBM027SBOG　diff(13),2010-01-01,C,SOFR,z104,0,
NDFACBM027SBOG　diff(13),2010-01-01,C,SOFR,mom4,5,
NDFACBM027SBOG　diff(13),2010-01-01,C,DXY,level,27,
NDFACBM027SBOG　diff(13),2010-01-01,C,DXY,qoq,20,
NDFACBM027SBOG　diff(13),2010-01-01,C,DXY,yoy,20,
NDFACBM027SBOG　diff(13),2010-01-01,C,DXY,z52_qoq,20,
NDFACBM027SBOG　diff(13),2010-01-01,C,DXY,z52_yoy,18,
NDFACBM027SBOG　diff(13),2010-01-01,C,DXY,z52,20,
NDFACBM027SBOG　diff(13),2010-01-01,C,DXY,z104,20,
NDFACBM027SBOG　diff(13),2010-01-01,C,DXY,mom4,0,
NDFACBM027SBOG　diff(13),2010-01-01,C,spd_SOFR_TB3MS,level,0,
NDFACBM027SBOG　diff(13),2010-01-01,C,spd_SOFR_TB3MS,diff13,20,M
NDFACBM027SBOG　diff(13),2010-01-01,C,spd_SOFR_TB3MS,diff52,0,
NDFACBM027SBOG　diff(13),2010-01-01,C,spd_SOFR_TB3MS,z52_diff13,21,
NDFACBM027SBOG　diff(13),2010-01-01,C,spd_SOFR_TB3MS,z52_diff52,18,
NDFACBM027SBOG　diff(13),2010-01-01,C,spd_SOFR_TB3MS,z52,0,
NDFACBM027SBOG　diff(13),2010-01-01,C,spd_SOFR_TB3MS,z104,0,
NDFACBM027SBOG　diff(13),2010-01-01,C,spd_SOFR_TB3MS,mom4,25,
NDFACBM027SBOG　diff(13),2010-01-01,C,spd_BBB_A,level,16,
NDFACBM027SBOG　diff(13),2010-01-01,C,spd_BBB_A,diff13,16,
NDFACBM027SBOG　diff(13),2010-01-01,C,spd_BBB_A,diff52,16,
NDFACBM027SBOG　diff(13),2010-01-01,C,spd_BBB_A,z52_diff13,18,
NDFACBM027SBOG　diff(13),2010-01-01,C,spd_BBB_A,z52_diff52,17,
NDFACBM027SBOG　diff(13),2010-01-01,C,spd_BBB_A,z52,18,
NDFACBM027SBOG　diff(13),2010-01-01,C,spd_BBB_A,z104,17,
NDFACBM027SBOG　diff(13),2010-01-01,C,spd_BBB_A,mom4,19,
NDFACBM027SBOG　diff(13),2010-01-01,D,Net_Liquidity,level,0,
NDFACBM027SBOG　diff(13),2010-01-01,D,Net_Liquidity,qoq,0,H
NDFACBM027SBOG　diff(13),2010-01-01,D,Net_Liquidity,yoy,0,
NDFACBM027SBOG　diff(13),2010-01-01,D,Net_Liquidity,z52_qoq,1,M
NDFACBM027SBOG　diff(13),2010-01-01,D,Net_Liquidity,z52_yoy,0,
NDFACBM027SBOG　diff(13),2010-01-01,D,Net_Liquidity,z52,1,M
NDFACBM027SBOG　diff(13),2010-01-01,D,Net_Liquidity,z104,0,M
NDFACBM027SBOG　diff(13),2010-01-01,D,Net_Liquidity,mom4,3,H
NDFACBM027SBOG　diff(13),2010-01-01,D,Res_Ratio,level,0,
NDFACBM027SBOG　diff(13),2010-01-01,D,Res_Ratio,qoq,1,H
NDFACBM027SBOG　diff(13),2010-01-01,D,Res_Ratio,yoy,0,
NDFACBM027SBOG　diff(13),2010-01-01,D,Res_Ratio,z52_qoq,4,M
NDFACBM027SBOG　diff(13),2010-01-01,D,Res_Ratio,z52_yoy,2,M
NDFACBM027SBOG　diff(13),2010-01-01,D,Res_Ratio,z52,1,M
NDFACBM027SBOG　diff(13),2010-01-01,D,Res_Ratio,z104,0,
NDFACBM027SBOG　diff(13),2010-01-01,D,Res_Ratio,mom4,5,H
NDFACBM027SBOG　diff(13),2010-01-01,D,Abs_Rate,level,4,
NDFACBM027SBOG　diff(13),2010-01-01,D,Abs_Rate,qoq,42,M
NDFACBM027SBOG　diff(13),2010-01-01,D,Abs_Rate,yoy,9,
NDFACBM027SBOG　diff(13),2010-01-01,D,Abs_Rate,z52_qoq,42,
NDFACBM027SBOG　diff(13),2010-01-01,D,Abs_Rate,z52_yoy,40,
NDFACBM027SBOG　diff(13),2010-01-01,D,Abs_Rate,z52,40,
NDFACBM027SBOG　diff(13),2010-01-01,D,Abs_Rate,z104,37,
NDFACBM027SBOG　diff(13),2010-01-01,D,Abs_Rate,mom4,7,
