model,Layer,name,liquid(normal),gliとのラグ相関,相関係数符号,指標公開遅れ,lag設定
gli,A,BUSLOANS_yoy_sync,pos,13,,2,6
gli,A,CP_yoy_sync,pos,7,,9,0
gli,A,PNFIC1_yoy_sync,pos,28,,6,21
gli,B,PCE_yoy_clip_sync,pos,27,,3,13
gli,B,PAYEMS_yoy_clip_sync,pos,25,,1,11
gli,B,CES0500000003_yoy_clip_sync,pos,14,,1,0
gli,C,SOFR_diff_clip_sync,neg,26,,0,23
gli,C,DXY_yoy_clip_sync,neg,56,,0,53
gli,C,Liq_Spread_sync,neg,3,,1,0
gli,C,Credit_Spread_sync,neg,13,,0,10
gli,C,Credit_Spread_diff_sync,neg,21,,0,19
gli,C,Liq_Spread_diff_sync,neg,8,,1,5
gli,D,Net_Liquidity_yoy_clip_sync,pos,40,,0,2
gli,D,Abs_Rate_clip_sync,neg,38,,2,0
dsr,A,BUSLOANS_yoy_clip_sync,pos,8,負,,
dsr,A,Baa_Aaa_Spread_clip_sync,,9,負,,
dsr,A,Baa_DGS10_Spread_clip_sync,,5,負,,
dsr,B,DSPIC96_yoy_clip_sync,,6,負,,
dsr,B,PAYEMS_yoy_clip_sync,,6,,,
dsr,B,AWHMAN_diff_clip_sync,,14,,,
dsr,B,ECIWAG_yoy,,1,,,
dsr,B,UNRATE_diff_clip_sync,,7,負,,
dsr,B,CP_yoy_clip_sync,,17,,,
dsr,B,PNFIC1_yoy_clip_sync,,8,,,
dsr,C,MORTGAGE30US_level_sync,,21,負,,
dsr,C,TERMCBCCALLNS_level_sync,,23,負,,
dsr,C,T10Y2Y_level_sync,,0,負,,